ocity,dcity,POP
110000,120000,497596.1864
110000,130100,65106.36805
110000,130200,121956.0305
110000,130300,59743.40272
110000,130400,28009.99861
110000,130500,21359.19171
110000,130600,477659.6846
110000,130700,238245.0303
110000,130800,150390.0378
110000,130900,93028.05706
110000,131000,1473010.018
110000,131100,38449.3029
110000,140100,9957.909739
110000,140200,23207.51109
110000,140300,2660.951391
110000,140400,2598.495839
110000,140500,805.7375007
110000,140600,4454.115279
110000,140700,5421.162504
110000,140800,2920.000005
110000,140900,11993.49447
110000,141000,3647.465275
110000,141100,1998.375003
110000,150100,15918.2584
110000,150200,5494.162504
110000,150300,341.5533376
110000,150400,26237.11254
110000,150500,3839.800011
110000,150600,3444.586121
110000,150700,1152.994448
110000,150800,1294.634724
110000,150900,11550.01944
110000,152200,1503.191675
110000,152500,10831.67916
110000,152900,457.0466697
110000,210100,9748.136103
110000,210200,3785.455562
110000,210300,2229.643063
110000,210400,752.7111118
110000,210500,554.0902798
110000,210600,1225.284727
110000,210700,4345.933346
110000,210800,2181.888893
110000,210900,1682.954172
110000,211000,877.5208364
110000,211100,2728.476391
110000,211200,879.0416687
110000,211300,7815.866665
110000,211400,22709.99583
110000,220100,3933.686125
110000,220200,1098.041668
110000,220300,1295.750004
110000,220400,362.4652831
110000,220500,733.751393
110000,220600,351.2111161
110000,220700,1102.198612
110000,220800,733.548615
110000,222400,455.1347268
110000,230100,4704.545838
110000,230200,1311.465277
110000,230300,281.800004
110000,230400,110.0750025
110000,230500,149.5852809
110000,230600,1415.591667
110000,230700,162.7697251
110000,230800,386.190282
110000,230900,98.88666851
110000,231000,545.9791695
110000,231100,214.6877808
110000,231200,910.6750018
110000,232700,189.9000032
110000,310000,4255.291676
110000,320100,2032.644452
110000,320200,969.3791669
110000,320300,3028.384728
110000,320400,741.7611132
110000,320500,1763.761116
110000,320600,1287.94306
110000,320700,1465.069444
110000,320800,914.9333364
110000,320900,1453.612503
110000,321000,1075.938892
110000,321100,353.5430588
110000,321200,749.9736158
110000,321300,1058.500003
110000,330100,1954.06806
